"","Snout Vent Length (cm)","Weight (kg)","Gender"
"1",271,18.5,"Female"
"2",477,82.5,"Female"
"3",306.3,23.4,"Female"
"4",365.3,33.5,"Female"
"5",466,69,"Female"
"6",440.7,54,"Female"
"7",315,24.97,"Female"
"8",417.5,56.75,"Female"
"9",307.3,23.15,"Female"
"10",319,29.51,"Female"
"11",303.9,19.98,"Female"
"12",331.7,24,"Female"
"13",435,70.37,"Female"
"14",261.3,15.5,"Female"
"15",384.8,63,"Female"
"16",360.3,39,"Female"
"17",441.4,53,"Female"
"18",246.7,15.75,"Female"
"19",365.3,44,"Female"
"20",336.8,30,"Female"
"21",326.7,34,"Female"
"22",312,25,"Female"
"23",226.7,9.25,"Female"
"24",347.4,30,"Female"
"25",280.2,15.25,"Female"
"26",290.7,21.5,"Female"
"27",438.6,57,"Female"
"28",377.1,61.5,"Female"
"29",176.7,3,"Male"
"30",259.5,9.75,"Male"
"31",258,10.07,"Male"
"32",229.8,7.5,"Male"
"33",233,6.25,"Male"
"34",237.5,9.85,"Male"
"35",268.3,10,"Male"
"36",222.5,9,"Male"
"37",186.5,3.75,"Male"
"38",238.8,9.75,"Male"
"39",257.6,9.75,"Male"
"40",172,3,"Male"
"41",244.7,10,"Male"
"42",224.7,7.25,"Male"
"43",231.7,9.25,"Male"
"44",235.9,7.5,"Male"
"45",236.5,5.75,"Male"
"46",247.4,7.75,"Male"
"47",223,5.75,"Male"
"48",223.7,5.75,"Male"
"49",212.5,7.65,"Male"
"50",223.2,7.75,"Male"
"51",225,5.84,"Male"
"52",228,7.53,"Male"
"53",215.6,5.75,"Male"
"54",221,6.45,"Male"
"55",236.7,6.49,"Male"
"56",235.3,6,"Male"
