"Snout Vent Length (cm)","Weight (kg)","Gender"
271,18.5,"Female"
477,82.5,"Female"
306.3,23.4,"Female"
365.3,33.5,"Female"
466,69,"Female"
440.7,54,"Female"
315,24.97,"Female"
417.5,56.75,"Female"
307.3,23.15,"Female"
319,29.51,"Female"
303.9,19.98,"Female"
331.7,24,"Female"
435,70.37,"Female"
261.3,15.5,"Female"
384.8,63,"Female"
360.3,39,"Female"
441.4,53,"Female"
246.7,15.75,"Female"
365.3,44,"Female"
336.8,30,"Female"
326.7,34,"Female"
312,25,"Female"
226.7,9.25,"Female"
347.4,30,"Female"
280.2,15.25,"Female"
290.7,21.5,"Female"
438.6,57,"Female"
377.1,61.5,"Female"
176.7,3,"Male"
259.5,9.75,"Male"
258,10.07,"Male"
229.8,7.5,"Male"
233,6.25,"Male"
237.5,9.85,"Male"
268.3,10,"Male"
222.5,9,"Male"
186.5,3.75,"Male"
238.8,9.75,"Male"
257.6,9.75,"Male"
172,3,"Male"
244.7,10,"Male"
224.7,7.25,"Male"
231.7,9.25,"Male"
235.9,7.5,"Male"
236.5,5.75,"Male"
247.4,7.75,"Male"
223,5.75,"Male"
223.7,5.75,"Male"
212.5,7.65,"Male"
223.2,7.75,"Male"
225,5.84,"Male"
228,7.53,"Male"
215.6,5.75,"Male"
221,6.45,"Male"
236.7,6.49,"Male"
235.3,6,"Male"
